Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Squares,SQ40,Mild Steel Square 40mm,40,,,,,,12.56,6.0,300,AS/NZS 3679.1-300
Squares,SQ50,Mild Steel Square 50mm,50,,,,,,19.63,6.0,300,AS/NZS 3679.1-300
Squares,SQ75,Mild Steel Square 75mm,75,,,,,,44.18,6.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA07505005,Mild Steel Unequal Angle 75x50x5mm,75,5,,,,,4.40,"6.0,9.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA07505006,Mild Steel Unequal Angle 75x50x6mm,75,6,,,,,5.66,"6.0,9.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA10007506,Mild Steel Unequal Angle 100x75x6mm,100,6,,,,,7.98,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA10007508,Mild Steel Unequal Angle 100x75x8mm,100,8,,,,,10.30,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA10007510,Mild Steel Unequal Angle 100x75x10mm,100,10,,,,,12.40,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA12507506,Mild Steel Unequal Angle 125x75x6mm,125,6,,,,,9.16,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA12507508,Mild Steel Unequal Angle 125x75x8mm,125,8,,,,,11.80,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA12507510,Mild Steel Unequal Angle 125x75x10mm,125,10,,,,,14.20,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA15009008,Mild Steel Unequal Angle 150x90x8mm,150,8,,,,,14.30,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA15009010,Mild Steel Unequal Angle 150x90x10mm,150,10,,,,,17.30,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA15009012,Mild Steel Unequal Angle 150x90x12mm,150,12,,,,,21.60,9.0,300,AS/NZS 3679.1-300
Unequal Angles,SUA15010010,Mild Steel Unequal Angle 150x100x10mm,150,10,,,,,18.00,"6.0,9.0,12.0",300,AS/NZS 3679.1-300
Unequal Angles,SUA15010012,Mild Steel Unequal Angle 150x100x12mm,150,12,,,,,22.50,"6.0,12.0",300,AS/NZS 3679.1-300
Duragal Flats,DGF0504,Duragal Flat 50x4mm,50,4,,,,,1.49,6.0,450,TS100
Duragal Flats,DGF0505,Duragal Flat 50x5mm,50,5,,,,,1.84,6.0,450,TS100
Duragal Flats,DGF0655,Duragal Flat 65x5mm,65,5,,,,,2.40,6.0,450,TS100
Duragal Flats,DGF0755,Duragal Flat 75x5mm,75,5,,,,,2.77,6.0,450,TS100
Duragal Flats,DGF1005,Duragal Flat 100x5mm,100,5,,,,,3.69,6.0,450,TS100
Duragal Flats,DGF1006,Duragal Flat 100x6mm,100,6,,,,,4.71,6.0,450,TS100
Duragal Flats,DGF1305,Duragal Flat 130x5mm,130,5,,,,,4.80,6.0,450,TS100
Duragal Flats,DGF1506,Duragal Flat 150x6mm,150,6,,,,,7.07,6.0,450,TS100
Duragal Flats,DGF2008,Duragal Flat 200x8mm,200,8,,,,,12.60,6.0,400,TS100
Duragal Angles,DGA03025,Duragal Angle 30x30x2.5mm,30,2.5,,,,,1.06,6.0,350,TS100
Duragal Angles,DGA04025,Duragal Angle 40x40x2.5mm,40,2.5,,,,,1.43,6.0,350,TS100
Duragal Angles,DGA04040,Duragal Angle 40x40x4mm,40,4,,,,,2.20,6.0,450,TS100
Duragal Angles,DGA05025,Duragal Angle 50x50x2.5mm,50,2.5,,,,,1.81,6.0,350,TS100
