"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Galvanized Pipe","PGXLPE020","Galvanized Pipe Extra Light 20mm","","","","2.00","26.90","","","2.00","","1.280","6.5","C250","AS1163","","","","0.16","","","","","","","","","","","true"
"Galvanized Pipe","PGXLPE040","Galvanized Pipe Extra Light 40mm","","","","2.30","48.30","","","2.30","","3.330","6.5","C250","AS1163","","","","0.29","","","","","","","","","","","true"
"Galvanized Pipe","PGXLPE065","Galvanized Pipe Extra Light 65mm","","","","2.30","76.10","","","2.30","","4.330","6.5","C250","AS1163","","","","0.46","","","","","","","","","","","true"
"Primed Pipe","PPMPE032","Primed Pipe Medium 32mm","","","","3.20","42.40","","","3.20","","3.100","6.5","C250","AS1074","","","","0.25","","","","","","","","","","","true"
"Primed Pipe","PPMPE050","Primed Pipe Medium 50mm","","","","3.60","60.30","","","3.60","","5.030","6.5","C250","AS1074","","","","0.36","","","","","","","","","","","true"
"Universal Beams","SUB200022","Universal Beam 202x133x22mm","202.00","","","22.00","","133.00","7.00","5.00","","22.300","6.0;9.0;12.0;13.5;15.0","G300SO","AS3679.1","","","","1.04","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC150023","Universal Column 152x152x23mm","152.00","","","23.00","","152.00","6.80","6.10","","23.400","6.0;9.0;12.0;15.0","G300SO","AS3679.1","","","","0.87","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC180075","Mild Steel Channel 180x75x11mm","180.00","","","11.00","","75.00","11.00","6.00","","20.900","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300","AS3679.1","","","","0.84","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC230075","Mild Steel Channel 230x75x12mm","230.00","","","12.00","","75.00","12.00","6.50","","25.100","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300","AS3679.1","","","","1.03","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC300090","Mild Steel Channel 300x90x16mm","300.00","","","16.00","","90.00","16.00","8.00","","40.100","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300","AS3679.1","","","","1.33","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC150755","Duragal Channel 150x75x5mm","150.00","","","5.00","","75.00","4.00","4.00","","10.500","12","450","TS100","","","","0.73","ASMUSS","","","","","","","","","","true"
"Cold Formed Channels","SC076038CF","Cold Formed Channel 75x40x3mm","75.00","","","3.00","","40.00","3.00","3.00","","3.770","6","HA-250","AS1594","","","","0.37","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC230756","Duragal Channel 230x75x6mm","230.00","","","6.00","","75.00","4.00","4.00","","16.900","12","450","TS100","","","","1.05","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC250906","Duragal Channel 250x90x6mm","250.00","","","6.00","","90.00","4.00","4.00","","19.200","12","450","TS100","","","","1.16","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC200755","Duragal Channel 200x75x5mm","200.00","","","5.00","","75.00","4.00","4.00","","12.400","12","450","TS100","","","","0.93","ASMUSS","","","","","","","","","","true"
"Structural Channels","SC075040","Mild Steel Channel 75x40x6.1mm","75.00","","","6.10","","40.00","6.10","3.80","","5.920","6.0;9.0;12.0","G300","AS3679.1","","","","0.36","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA08006","Mild Steel Equal Angle 80x80x6mm","80.00","","","6.00","","","","","","7.340","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.31","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA10012","Mild Steel Equal Angle 100x100x12mm","100.00","","","12.00","","","","","","17.700","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.38","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA20016","Mild Steel Equal Angle 200x200x16mm","200.00","","","16.00","","","","","","48.700","9.0;12.0","300","AS/NZS 3679.1-300","","","","0.77","ASMUSS","","","","","","","","","","true"
"SHS","SHS02020","Square Hollow Section 20x20x2mm","1200.00","","","20.00","","20.00","","","2400.00","1.050","8.0;12.0","C350LO","AS/NZS 1163","","","","0.14","ASMUSS","","","","","","","","","","true"
"Squares","SQ06","Mild Steel Square 6mm","6.00","","","6.00","","6.00","","","","0.280","6","300","AS/NZS 3679.1-300","","","","0.02","ASMUSS","","","","","","","","","","true"
"DHS Purlins","DHS150/12","DHS 150/12 Purlin","65.00","","","1.15","","","","","","2.990","","G500","AS 1397","","","","0.28","","","","","","","","","","","true"
"DHS Purlins","DHS150/15","DHS 150/15 Purlin","65.00","","","1.45","","","","","","3.740","","G500","AS 1397","","","","0.28","","","","","","","","","","","true"
"DHS Purlins","DHS200/12","DHS 200/12 Purlin","75.00","","","1.15","","","","","","3.710","","G500","AS 1397","","","","0.35","","","","","","","","","","","true"
"DHS Purlins","DHS200/15","DHS 200/15 Purlin","75.00","","","1.45","","","","","","4.650","","G500","AS 1397","","","","0.35","","","","","","","","","","","true"
"DHS Purlins","DHS200/18","DHS 200/18 Purlin","75.00","","","1.75","","","","","","5.590","","G450","AS 1397","","","","0.35","","","","","","","","","","","true"
"DHS Purlins","DHS250/13","DHS 250/13 Purlin","85.00","","","1.25","","","","","","4.870","","G500","AS 1397","","","","0.42","","","","","","","","","","","true"
"DHS Purlins","DHS250/15","DHS 250/15 Purlin","85.00","","","1.45","","","","","","5.630","","G500","AS 1397","","","","0.42","","","","","","","","","","","true"
"DHS Purlins","DHS250/18","DHS 250/18 Purlin","85.00","","","1.75","","","","","","6.760","","G450","AS 1397","","","","0.42","","","","","","","","","","","true"
"DHS Purlins","DHS300/15","DHS 300/15 Purlin","100.00","","","1.45","","","","","","6.660","","G500","AS 1397","","","","0.50","","","","","","","","","","","true"
"DHS Purlins","DHS300/18","DHS 300/18 Purlin","100.00","","","1.75","","","","","","8.010","","G450","AS 1397","","","","0.50","","","","","","","","","","","true"
"DHS Purlins","DHS350/18","DHS 350/18 Purlin","100.00","","","1.75","","","","","","8.830","","G450","AS 1397","","","","0.55","","","","","","","","","","","true"
"DHS Purlins","DHS400/20","DHS 400/20 Purlin","100.00","","","1.95","","","","","","10.740","","G450","AS 1397","","","","0.60","","","","","","","","","","","true"
"Reid Bar","SRRB16","Reid Bar 16mm","","","","","16.00","","","","","1.580","6.0;9.0;12.0","500E","AS/NZS 4671","","","","0.05","ASMUSS","","","","","","","","","","true"
"Reid Bar","SRRB20","Reid Bar 20mm","","","","","20.00","","","","","2.470","6.0;9.0;12.0","500E","AS/NZS 4671","","","","0.06","ASMUSS","","","","","","","","","","true"
"Reid Bar","SRRB32","Reid Bar 32mm","","","","","32.00","","","","","6.310","9.0;12.0","500E","AS/NZS 4671","","","","0.10","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA04025","Duragal Angle 40x40x2.5mm","40.00","","","2.50","","","","","","1.430","6","350","TS100","","","","0.16","ASMUSS","","","","","","","","","","true"
"Duragal Channels","DGC125654","Duragal Channel 125x65x4mm","125.00","","","4.00","","65.00","4.00","4.00","","7.230","9","450","TS100","","","","0.61","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA06540","Duragal Angle 65x65x4mm","65.00","","","4.00","","","","","","3.690","9","450","TS100","","","","0.25","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB150014","Universal Beam 150x75x14mm","150.00","","","14.00","","75.00","7.00","5.00","","14.000","6.0;9.0;12.0","G300SO","AS3679.1","","","","0.71","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB180018","Universal Beam 175x90x18mm","175.00","","","18.00","","90.00","8.00","5.00","","18.100","6.0;9.0;12.0","G300SO","AS3679.1","","","","0.84","ASMUSS","","","","","","","","","","true"
"Reinforcing Grade 300","SRD10","Grade 300 Reinforcing Bar 10mm","","","","","10.00","","","","","0.620","6","300","AS/NZS 4671","","","","0.03","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB200018","Universal Beam 198x99x18mm","198.00","","","18.00","","99.00","7.00","4.50","","18.200","6.0;9.0;12.0;13.5","G300SO","AS3679.1","","","","0.95","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB200025","Universal Beam 203x133x25mm","203.00","","","25.00","","133.00","7.80","5.80","","25.400","6.0;9.0;10.5;12.0;13.5;15.0;18.0","G300SO","AS3679.1","","","","1.04","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA06560","Duragal Angle 65x65x6mm","65.00","","","6.00","","","","","","5.620","9","450","TS100","","","","0.25","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA07560","Duragal Angle 75x75x6mm","75.00","","","6.00","","","","","","6.560","9","450","TS100","","","","0.29","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA10060","Duragal Angle 100x100x10mm","100.00","","","10.00","","","","","","8.920","12","400","TS100","","","","0.38","ASMUSS","","","","","","","","","","true"
"Duragal Angles","DGA05040","Duragal Angle 50x50x4mm","50.00","","","4.00","","","","","","2.790","6","450","TS100","","","","0.19","ASMUSS","","","","","","","","","","true"
"Reinforcing Mesh","SRM228","Reinforcing Mesh 50x50x4mm","50.00","","","4.00","","","","","","3.940","2.4x1.2","D500","NZS 3422:1975","","","","0.50","ASMUSS","","","","","","","","","","true"
"Reinforcing Mesh","SRM338","Reinforcing Mesh 75x75x4mm","75.00","","","4.00","","","","","","2.620","2.4x1.2;4.65x1.97","D500","NZS 3422:1975","","","","0.34","ASMUSS","","","","","","","","","","true"
"Reinforcing Mesh","SRM665","Reinforcing Mesh 150x150x5.3mm","150.00","","","5.30","","","","","","2.400","4.65x1.97","D500","NZS 3422:1975","","","","0.22","ASMUSS","","","","","","","","","","true"
"Universal Beams","SUB250026","Universal Beam 248x124x26mm","248.00","","","26.00","","124.00","8.00","5.00","","25.700","6.0;9.0;10.5;12.0;15.0;16.5;18.0","G300SO","AS3679.1","","","","1.20","ASMUSS","","","","","","","","","","true"
"Cold Rolled Sheets","SHCR20","Cold Rolled Sheet 2.0mm","2438.00","","","2.00","","","","","1219.00","15.700","2438x1219","SPCC SD","JIS G3141","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG12","Electrogalvanised Sheet 1.2mm","2438.00","","","1.20","","","","","1219.00","9.420","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG16","Electrogalvanised Sheet 1.6mm","2438.00","","","1.60","","","","","1219.00","12.560","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG19","Electrogalvanised Sheet 1.9mm","2438.00","","","1.90","","","","","1219.00","14.920","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG25","Electrogalvanised Sheet 2.5mm","2438.00","","","2.50","","","","","1219.00","19.630","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG30","Electrogalvanised Sheet 3.0mm","2438.00","","","3.00","","","","","1219.00","23.550","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG055","Galvanized Sheet 0.55mm","2438.00","","","0.55","","","","","1219.00","4.710","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG075","Galvanized Sheet 0.75mm","2438.00","","","0.75","","","","","1219.00","6.280","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG095","Galvanized Sheet 0.95mm","2438.00","","","0.95","","","","","1219.00","7.850","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG115","Galvanized Sheet 1.15mm","2438.00","","","1.15","","","","","1219.00","9.420","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG155","Galvanized Sheet 1.55mm","2438.00","","","1.55","","","","","1219.00","12.560","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG200","Galvanized Sheet 2.0mm","2438.00","","","2.00","","","","","1219.00","15.660","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG250","Galvanized Sheet 2.5mm","2438.00","","","2.50","","","","","1219.00","19.850","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
"RHS","RHS07505040","Rectangular Hollow Section 75x50x4mm","75.00","","","4.00","","50.00","","","","6.920","8.0;12.0","C350LO","AS/NZS 1163","","","","0.47","ASMUSS","","","","","","","","","","true"
"RHS","RHS07505050","Rectangular Hollow Section 75x50x5mm","75.00","","","5.00","","50.00","","","","8.350","8.0;12.0","C350LO","AS/NZS 1163","","","","0.46","ASMUSS","","","","","","","","","","true"
"RHS","RHS07505060","Rectangular Hollow Section 75x50x6mm","75.00","","","6.00","","50.00","","","","9.670","8.0;12.0","C350LO","AS/NZS 1163","","","","0.45","ASMUSS","","","","","","","","","","true"
"Flats","SF02508","Mild Steel Flat 25x8mm","25.00","","","8.00","","","","","","1.570","6","300","AS/NZS 3679.1-300","","","","0.07","ASMUSS","","","","","","","","","","true"
"Flats","SF02512","Mild Steel Flat 25x12mm","25.00","","","12.00","","","","","","2.360","6","300","AS/NZS 3679.1-300","","","","0.07","ASMUSS","","","","","","","","","","true"
"Flats","SF03003","Mild Steel Flat 30x3mm","30.00","","","3.00","","","","","","0.710","6","300","AS/NZS 3679.1-300","","","","0.07","ASMUSS","","","","","","","","","","true"
"SHS","SHS08960","Square Hollow Section 89x89x6mm","1200.00","","","89.00","","89.00","","","2400.00","14.700","8.0;12.0","C350LO","AS/NZS 1163","","","","0.66","ASMUSS","","","","","","","","","","true"
"SHS","SHS12550","Square Hollow Section 125x125x5mm","1200.00","","","125.00","","125.00","","","2400.00","18.200","8.0;12.0","C350LO","AS/NZS 1163","","","","0.96","ASMUSS","","","","","","","","","","true"
"SHS","SHS15090","Square Hollow Section 150x150x9mm","1200.00","","","150.00","","150.00","","","2400.00","37.700","8.0;12.0","C350LO","AS/NZS 1163","","","","1.13","ASMUSS","","","","","","","","","","true"
"Universal Columns","SUC200052","Universal Column 206x204x52mm","206.00","","","52.00","","204.00","12.50","8.00","","52.200","6.0;9.0;12.0;13.5;15.0;18.0","G300SO","AS3679.1","","","","1.17","ASMUSS","","","","","","","","","","true"
"Flats","SF03010","Mild Steel Flat 30x10mm","30.00","","","10.00","","","","","","2.360","6","300","AS/NZS 3679.1-300","","","","0.08","ASMUSS","","","","","","","","","","true"
"Flats","SF03205","Mild Steel Flat 32x5mm","32.00","","","5.00","","","","","","1.260","6","300","AS/NZS 3679.1-300","","","","0.07","ASMUSS","","","","","","","","","","true"
"Flats","SF04005","Mild Steel Flat 40x5mm","40.00","","","5.00","","","","","","1.570","6","300","AS/NZS 3679.1-300","","","","0.09","ASMUSS","","","","","","","","","","true"
"Flats","SF04006","Mild Steel Flat 40x6mm","40.00","","","6.00","","","","","","1.880","6","300","AS/NZS 3679.1-300","","","","0.09","ASMUSS","","","","","","","","","","true"
"Flats","SF05016","Mild Steel Flat 50x16mm","50.00","","","16.00","","","","","","6.280","6","300","AS/NZS 3679.1-300","","","","0.13","ASMUSS","","","","","","","","","","true"
"Flats","SF05020","Mild Steel Flat 50x20mm","50.00","","","20.00","","","","","","7.850","6","300","AS/NZS 3679.1-300","","","","0.14","ASMUSS","","","","","","","","","","true"
"Flats","SF05025","Mild Steel Flat 50x25mm","50.00","","","25.00","","","","","","9.810","6","300","AS/NZS 3679.1-300","","","","0.15","ASMUSS","","","","","","","","","","true"
"Flats","SF06508","Mild Steel Flat 65x8mm","65.00","","","8.00","","","","","","4.010","6","300","AS/NZS 3679.1-300","","","","0.15","ASMUSS","","","","","","","","","","true"
"Flats","SF06510","Mild Steel Flat 65x10mm","65.00","","","10.00","","","","","","5.100","6","300","AS/NZS 3679.1-300","","","","0.15","ASMUSS","","","","","","","","","","true"
"Flats","SF07503","Mild Steel Flat 75x3mm","75.00","","","3.00","","","","","","1.770","6","300","AS/NZS 3679.1-300","","","","0.16","ASMUSS","","","","","","","","","","true"
"Flats","SF07506","Mild Steel Flat 75x6mm","75.00","","","6.00","","","","","","3.530","6","300","AS/NZS 3679.1-300","","","","0.16","ASMUSS","","","","","","","","","","true"
"Flats","SF07510","Mild Steel Flat 75x10mm","75.00","","","10.00","","","","","","5.890","6","300","AS/NZS 3679.1-300","","","","0.17","ASMUSS","","","","","","","","","","true"
"Flats","SF07520","Mild Steel Flat 75x20mm","75.00","","","20.00","","","","","","11.780","6","300","AS/NZS 3679.1-300","","","","0.19","ASMUSS","","","","","","","","","","true"
"Flats","SF07525","Mild Steel Flat 75x25mm","75.00","","","25.00","","","","","","14.720","6","300","AS/NZS 3679.1-300","","","","0.20","ASMUSS","","","","","","","","","","true"
"RHS","RHS15005040","Rectangular Hollow Section 150x50x4mm","150.00","","","4.00","","50.00","","","","11.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.77","ASMUSS","","","","","","","","","","true"
"RHS","RHS15010050","Rectangular Hollow Section 150x100x5mm","150.00","","","5.00","","100.00","","","","18.200","8.0;12.0","C350LO","AS/NZS 1163","","","","0.96","ASMUSS","","","","","","","","","","true"
"RHS","RHS20010050","Rectangular Hollow Section 200x100x5mm","200.00","","","5.00","","100.00","","","","22.100","8.0;12.0","C350LO","AS/NZS 1163","","","","1.16","ASMUSS","","","","","","","","","","true"
"RHS","RHS15075090","Rectangular Hollow Section 150x75x9mm","150.00","","","9.00","","75.00","","","","27.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.83","ASMUSS","","","","","","","","","","true"
"RHS","RHS20010090","Rectangular Hollow Section 200x100x9mm","200.00","","","9.00","","100.00","","","","37.700","8.0;12.0","C350LO","AS/NZS 1163","","","","1.13","ASMUSS","","","","","","","","","","true"
"RHS","RHS10005050","Rectangular Hollow Section 100x50x5mm","100.00","","","5.00","","50.00","","","","10.300","8.0;12.0","C350LO","AS/NZS 1163","","","","0.56","ASMUSS","","","","","","","","","","true"
"Flats","SF02005","Mild Steel Flat 20x5mm","20.00","","","5.00","","","","","","0.790","6","300","AS/NZS 3679.1-300","","","","0.05","ASMUSS","","","","","","","","","","true"
"Flats","SF02506","Mild Steel Flat 25x6mm","25.00","","","6.00","","","","","","1.180","6","300","AS/NZS 3679.1-300","","","","0.06","ASMUSS","","","","","","","","","","true"
"Flats","SF03203","Mild Steel Flat 32x3mm","32.00","","","3.00","","","","","","0.750","6","300","AS/NZS 3679.1-300","","","","0.07","ASMUSS","","","","","","","","","","true"
"Flats","SF03206","Mild Steel Flat 32x6mm","32.00","","","6.00","","","","","","1.510","6","300","AS/NZS 3679.1-300","","","","0.08","ASMUSS","","","","","","","","","","true"
"Flats","SF04003","Mild Steel Flat 40x3mm","40.00","","","3.00","","","","","","0.940","6","300","AS/NZS 3679.1-300","","","","0.09","ASMUSS","","","","","","","","","","true"
"Flats","SF04008","Mild Steel Flat 40x8mm","40.00","","","8.00","","","","","","2.510","6","300","AS/NZS 3679.1-300","","","","0.10","ASMUSS","","","","","","","","","","true"
"Flats","SF05006","Mild Steel Flat 50x6mm","50.00","","","6.00","","","","","","2.360","6","300","AS/NZS 3679.1-300","","","","0.11","ASMUSS","","","","","","","","","","true"
"Flats","SF06006","Mild Steel Flat 60x6mm","60.00","","","6.00","","","","","","2.830","6","300","AS/NZS 3679.1-300","","","","0.13","ASMUSS","","","","","","","","","","true"
"Flats","SF06010","Mild Steel Flat 60x10mm","60.00","","","10.00","","","","","","4.710","6","300","AS/NZS 3679.1-300","","","","0.14","ASMUSS","","","","","","","","","","true"
"Flats","SF06503","Mild Steel Flat 65x3mm","65.00","","","3.00","","","","","","1.530","6","300","AS/NZS 3679.1-300","","","","0.14","ASMUSS","","","","","","","","","","true"
"Flats","SF06506","Mild Steel Flat 65x6mm","65.00","","","6.00","","","","","","2.060","6","300","AS/NZS 3679.1-300","","","","0.14","ASMUSS","","","","","","","","","","true"
"Flats","SF07508","Mild Steel Flat 75x8mm","75.00","","","8.00","","","","","","4.710","6","300","AS/NZS 3679.1-300","","","","0.17","ASMUSS","","","","","","","","","","true"
"Flats","SF08010","Mild Steel Flat 80x10mm","80.00","","","10.00","","","","","","6.280","6","300","AS/NZS 3679.1-300","","","","0.18","ASMUSS","","","","","","","","","","true"
"Flats","SF09010","Mild Steel Flat 90x10mm","90.00","","","10.00","","","","","","7.070","6","300","AS/NZS 3679.1-300","","","","0.20","ASMUSS","","","","","","","","","","true"
"Flats","SF09012","Mild Steel Flat 90x12mm","90.00","","","12.00","","","","","","8.480","6","300","AS/NZS 3679.1-300","","","","0.20","ASMUSS","","","","","","","","","","true"
"Flats","SF10020","Mild Steel Flat 100x20mm","100.00","","","20.00","","","","","","15.700","6","300","AS/NZS 3679.1-300","","","","0.24","ASMUSS","","","","","","","","","","true"
"Flats","SF13006","Mild Steel Flat 130x6mm","130.00","","","6.00","","","","","","6.120","6","300","AS/NZS 3679.1-300","","","","0.27","ASMUSS","","","","","","","","","","true"
"Flats","SF13008","Mild Steel Flat 130x8mm","130.00","","","8.00","","","","","","8.160","6","300","AS/NZS 3679.1-300","","","","0.28","ASMUSS","","","","","","","","","","true"
"Flats","SF13016","Mild Steel Flat 130x16mm","130.00","","","16.00","","","","","","16.330","6","300","AS/NZS 3679.1-300","","","","0.29","ASMUSS","","","","","","","","","","true"
"Flats","SF18006","Mild Steel Flat 180x6mm","180.00","","","6.00","","","","","","8.480","6","300","AS/NZS 3679.1-300","","","","0.37","ASMUSS","","","","","","","","","","true"
"Flats","SF20006","Mild Steel Flat 200x6mm","200.00","","","6.00","","","","","","9.420","6","300","AS/NZS 3679.1-300","","","","0.41","ASMUSS","","","","","","","","","","true"
"Flats","SF20008","Mild Steel Flat 200x8mm","200.00","","","8.00","","","","","","12.560","6","300","AS/NZS 3679.1-300","","","","0.42","ASMUSS","","","","","","","","","","true"
"Flats","SF20012","Mild Steel Flat 200x12mm","200.00","","","12.00","","","","","","18.840","6","300","AS/NZS 3679.1-300","","","","0.42","ASMUSS","","","","","","","","","","true"
"Flats","SF25006","Mild Steel Flat 250x6mm","250.00","","","6.00","","","","","","11.780","6","300","AS/NZS 3679.1-300","","","","0.51","ASMUSS","","","","","","","","","","true"
"RHS","RHS15010060","Rectangular Hollow Section 150x100x6mm","150.00","","","6.00","","100.00","","","","21.400","8.0;12.0","C350LO","AS/NZS 1163","","","","0.95","ASMUSS","","","","","","","","","","true"
"Squares","SQ38","Mild Steel Square 38mm","38.00","","","38.00","","38.00","","","","11.340","6","300","AS/NZS 3679.1-300","","","","0.15","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA12507508","Mild Steel Unequal Angle 125x75x8mm","125.00","125.00","75.00","8.00","","","","","","11.800","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.38","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA15009012","Mild Steel Unequal Angle 150x90x12mm","150.00","150.00","90.00","12.00","","","","","","21.600","9","300","AS/NZS 3679.1-300","","","","0.46","ASMUSS","","","","","","","","","","true"
"Flats","SF04010","Mild Steel Flat 40x10mm","40.00","","","10.00","","","","","","3.140","6","300","AS/NZS 3679.1-300","","","","0.10","ASMUSS","","","","","","","","","","true"
"Flats","SF15008","Mild Steel Flat 150x8mm","150.00","","","8.00","","","","","","9.420","6","300","AS/NZS 3679.1-300","","","","0.32","ASMUSS","","","","","","","","","","true"
"Flats","SF15010","Mild Steel Flat 150x10mm","150.00","","","10.00","","","","","","11.780","6","300","AS/NZS 3679.1-300","","","","0.32","ASMUSS","","","","","","","","","","true"
"Flats","SF15016","Mild Steel Flat 150x16mm","150.00","","","16.00","","","","","","18.840","6","300","AS/NZS 3679.1-300","","","","0.33","ASMUSS","","","","","","","","","","true"
